"Name","StatusString","Owner","HostName","OperatingSystem","CPUCount","Memory","TotalSize","Version","VMCheckpoints"
"dev-slb-wireshark-01","Stopped","ETR\y.grishkin","dev-host-02.etr.eastbanctech.ru","64-bit edition of Windows 10","2","4096","28357689344","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-alink-02","Running","ETR\g.sidorov","etr-host-01.etr.eastbanctech.ru","Windows Server 2012 R2 Standard","8","12288","62650318848","5.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-dc-07","Running","ETR\v.trofimovich","etr-host-05.etr.eastbanctech.ru","Windows Server 2019 Standard","2","4096","37484494848","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-sonar-01","Running","ETR\e.paraga","etr-host-08.etr.eastbanctech.ru","Other Linux (64 bit)","4","16384","27690795008","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-s7-nba-db-01","Running","ETR\p.pelmenev","etr-host-06.etr.eastbanctech.ru","Other Linux (64 bit)","12","12288","1253677465600","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-lm-moss-03","Stopped","ETR\y.bushuev","dev-host-02.etr.eastbanctech.ru","Windows Server 2016 Standard","8","8192","214517678080","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-site-01","Running","ETR\d.khromenko","etr-host-07.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","4096","20774387712","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-dc-02","Running","ETR\v.trofimovich","etr-host-01.etr.eastbanctech.ru","Windows Server 2019 Standard","8","4096","35538337792","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-runner-06","Running","ETR\e.paraga","etr-host-03.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","24","32768","954766196736","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-alink-02","Running","ETR\g.sidorov","etr-host-08.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","8","8192","25337790464","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-runner-12","Running","ETR\e.paraga","etr-host-01.etr.eastbanctech.ru","Other Linux (64 bit)","24","32768","921715081216","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-tfs-09","Running","ETR\y.bushuev","etr-host-01.etr.eastbanctech.ru","Windows Server 2016 Standard","12","16384","264614445056","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-slb-build1","Running","ETR\y.grishkin","etr-host-14.etr.eastbanctech.ru","Windows Server 2016 Standard","4","4096","72381104128","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"etr-sync-02","Running","ETR\d.khromenko","etr-host-08.etr.eastbanctech.ru","Windows Server 2019 Standard","6","4096","32350666752","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-jira-01","Running","ETR\v.shakhov","etr-host-06.etr.eastbanctech.ru","Windows Server 2019 Standard","8","8192","41343254528","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-hrdt-gluster-01","Running","ETR\e.paraga","etr-host-14.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","4096","17255366656","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-scs-elk-01","Stopped","ETR\y.grishkin","etr-host-14.etr.eastbanctech.ru","Oracle Linux 7 (64 bit)","4","8192","47722790912","8.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"dev-mssql-node-01","Running","ETR\y.bushuev","etr-host-03.etr.eastbanctech.ru","Windows Server 2019 Standard","8","16384","513521221632","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
"te-avp-01","Running","ETR\v.dutov","etr-host-06.etr.eastbanctech.ru","Windows Server 2019 Standard","8","16384","49396318208","9.0","Microsoft.SystemCenter.VirtualMachineManager.VMCheckpoint[]"
